,SLNO,PL No.,DESCRIPTION,TAGS
81,82,11377136,"Rubber part kit for F-2 feed valve,( Full description as per remarks col.Sr No.1.)","['rubber', 'part', 'kit', 'for', 'f', '2', 'feed', 'valve', 'full', 'description', 'as', 'per', 'remarks', 'col', 'sr', 'no', '1']"
82,83,11390013,SANDER CONTROL VALVE,"['sander', 'control', 'valve']"
83,84,11390025,VALVE HORN OPERATING VALVE ASSLY,"['valve', 'horn', 'operating', 'valve', 'assly']"
84,85,11390037,"J-1 main reservoir safety valve assly,modified .","['j', '1', 'main', 'reservoir', 'safety', 'valve', 'assly', 'modified']"
85,86,11390049,AUTO DRAIN VALVE MR (GM Type),"['auto', 'drain', 'valve', 'mr', 'gm', 'type']"
86,87,11390050,VALVE N1 REDUCING air pressure regulating valve,"['valve', 'n1', 'reducing', 'air', 'pressure', 'regulating', 'valve']"
87,88,11390062,VALVE NEEDLE 1/4 INCH FOR WIPER MOTOR,"['valve', 'needle', '1', '4', 'inch', 'for', 'wiper', 'motor']"
88,89,11391583,O RING INNER FOR HORN OPERATING,"['o', 'ring', 'inner', 'for', 'horn', 'operating']"
89,90,11393452,"24A DOUBLE CHECK VALVE,","['24a', 'double', 'check', 'valve']"
90,91,11410036,Suspension coil spring Outer for motor truck,"['suspension', 'coil', 'spring', 'outer', 'for', 'motor', 'truck']"
91,92,11410048,SUSPENSION COIL SPRING INNER FOR MOTOR TRUCK,"['suspension', 'coil', 'spring', 'inner', 'for', 'motor', 'truck']"
92,93,11410383,"Suspension spring Outer for WDG3A,","['suspension', 'spring', 'outer', 'for', 'wdg3a']"
93,94,11410395,Suspension Spring (Inner) for WDG3A,"['suspension', 'spring', 'inner', 'for', 'wdg3a']"
94,95,11410693,Snubber assly for BG Motor Truck,"['snubber', 'assly', 'for', 'bg', 'motor', 'truck']"
95,96,11420029,GLASS SLIDING WINDOW ASSLY FOR WDM2,"['glass', 'sliding', 'window', 'assly', 'for', 'wdm2']"
96,97,11420145,NS-16 air governer wabco pt no. 85270.,"['ns', '16', 'air', 'governer', 'wabco', 'pt', 'no', '85270']"
97,98,11430412,RUBBER DIAPHRAGM KIT FOR HORN Operating,"['rubber', 'diaphragm', 'kit', 'for', 'horn', 'operating']"
98,99,11430692,HORN AIR DUEL TONE,"['horn', 'air', 'duel', 'tone']"
99,100,11430758,MOTOR WINDOW WIPER WITH TRANSITION SHAFT,"['motor', 'window', 'wiper', 'with', 'transition', 'shaft']"
100,101,11440077,GLASS DOOR 1/4 inch THICK,"['glass', 'door', '1', '4', 'inch', 'thick']"
101,102,11440119,WIPER ARM 8 inch FOR DOOR GLASS,"['wiper', 'arm', '8', 'inch', 'for', 'door', 'glass']"
102,103,11440120,WINDOW WIPER BLADE ASSLY 8 inch,"['window', 'wiper', 'blade', 'assly', '8', 'inch']"
103,104,11440132,"WIPER BLADE ASSLY 12""","['wiper', 'blade', 'assly', '12']"
104,105,11440144,"GLASS CAB WINDOW ,stationery FRONT and rear look out","['glass', 'cab', 'window', 'stationery', 'front', 'and', 'rear', 'look', 'out']"
105,106,11442414,"WIPER BLADE ASSLY 8""","['wiper', 'blade', 'assly', '8']"
106,107,11445488,"4""SINGLE AIR PRESSUR GUAGE SELF ILLUMINATED WITH LED blacklit type BC,","['4', 'single', 'air', 'pressur', 'guage', 'self', 'illuminated', 'with', 'led', 'blacklit', 'type', 'bc']"
107,108,11445506,"4"" AIR FLOW INDICATING GAUGE SELF ILLUMINATED BACKLIT WITH LED","['4', 'air', 'flow', 'indicating', 'gauge', 'self', 'illuminated', 'backlit', 'with', 'led']"
108,109,11445518,"6"" SINGLE AIR PRESSURE (BP) GAUGE SELF ILLUMINATED with LED","['6', 'single', 'air', 'pressure', 'bp', 'gauge', 'self', 'illuminated', 'with', 'led']"
109,110,11445520,"6""SINGLE VACUUM GAUGE (VTV) SELF ILLUMINATED WITH LED","['6', 'single', 'vacuum', 'gauge', 'vtv', 'self', 'illuminated', 'with', 'led']"
110,111,11445531,VACUUM BRAKE PIPE CONTROL SHAFT ILLUMINATED WITH LED,"['vacuum', 'brake', 'pipe', 'control', 'shaft', 'illuminated', 'with', 'led']"
111,112,11445543,"4"" BOOSTER AIR GAUGE SELF ILUMINATED WITH LED","['4', 'booster', 'air', 'gauge', 'self', 'iluminated', 'with', 'led']"
112,113,11445555,"4 inch Control AIR GUAGE self illuminated with LED,","['4', 'inch', 'control', 'air', 'guage', 'self', 'illuminated', 'with', 'led']"
113,114,11454052,ROTEX VALVE 2 WAY MAGNET VALVE NORMALLY OPENED SR-3055 Dlw Pt No-11454052,"['rotex', 'valve', '2', 'way', 'magnet', 'valve', 'normally', 'opened', 'sr', '3055', 'dlw', 'pt', 'no', '11454052']"
114,115,11454635,"HORN AND AXLE BOX FACE LINER FOR WDG3A LOCOS,","['horn', 'and', 'axle', 'box', 'face', 'liner', 'for', 'wdg3a', 'locos']"
115,116,11454647,"HORN AND AXLE BOX SIDE LINER , MIN. STEEL FOR WDG3A LOCO","['horn', 'and', 'axle', 'box', 'side', 'liner', 'min', 'steel', 'for', 'wdg3a', 'loco']"
116,117,11456530,WIPER ASSLY 12 inch FOR WDG3A,"['wiper', 'assly', '12', 'inch', 'for', 'wdg3a']"
117,118,11456541,WIPER ASSLY 8 inch FOR WDG3A,"['wiper', 'assly', '8', 'inch', 'for', 'wdg3a']"
118,119,11457156,ROTEX VALVE TWO WAY MAGNET VALVE NORMALLY CLOSED ROTEX MODEL.,"['rotex', 'valve', 'two', 'way', 'magnet', 'valve', 'normally', 'closed', 'rotex', 'model']"
119,120,11459025,"Hydraulic damper (Latral) for WDG3A, RDSO Drg No.-SKVL-295, item-2 SKVL-328, item-2 RDSO Spec","['hydraulic', 'damper', 'latral', 'for', 'wdg3a', 'rdso', 'drg', 'no', 'skvl', '295', 'item', '2', 'skvl', '328', 'item', '2', 'rdso', 'spec']"
120,121,11459037,"Hydraulic Damper Vertical for WDG3A RDSO Drg No.SKVL-295, item-1,SKVL-328 item-1.","['hydraulic', 'damper', 'vertical', 'for', 'wdg3a', 'rdso', 'drg', 'no', 'skvl', '295', 'item', '1', 'skvl', '328', 'item', '1']"
121,122,11459815,"PRESSURE SWITCH RT-116,DLW Part No.11459815","['pressure', 'switch', 'rt', '116', 'dlw', 'part', 'no', '11459815']"
122,123,11485085,AIR FLOW MEASURING VALVE ASSLY (50 percent panel mounted and 50 percent pipe mounted),"['air', 'flow', 'measuring', 'valve', 'assly', '50', 'percent', 'panel', 'mounted', 'and', '50', 'percent', 'pipe', 'mounted']"
123,124,11487513,"C3W DISTRIBUTOR VALVE with control reservoir,","['c3w', 'distributor', 'valve', 'with', 'control', 'reservoir']"
124,125,11487586,PRESSURE SWITCH RT-5X DLW Pt no.11487586.,"['pressure', 'switch', 'rt', '5x', 'dlw', 'pt', 'no', '11487586']"
125,126,11520267,"LINK FOR WDG3A, Locos to RDSO Spec No. MP.0.4900.11 [Rev-01 Jan'10] and RDSO drawing no.","['link', 'for', 'wdg3a', 'locos', 'to', 'rdso', 'spec', 'no', 'mp', '0', '4900', '11', 'rev', '01', 'jan', '10', 'and', 'rdso', 'drawing', 'no']"
126,127,11520279,"Equiliser beam for WDG3A,RDSO Spec.No.- MP.0.4900.11 Rev-01, Jan-10,","['equiliser', 'beam', 'for', 'wdg3a', 'rdso', 'spec', 'no', 'mp', '0', '4900', '11', 'rev', '01', 'jan', '10']"
127,128,11520280,"Compensating Beam for WDG3A,","['compensating', 'beam', 'for', 'wdg3a']"
128,129,11520360,"BRAKE RIGGING KIT FOR WDG3A/WDM3D Locos, DLW Pt No-11520360, item consisting of 24 items in","['brake', 'rigging', 'kit', 'for', 'wdg3a', 'wdm3d', 'locos', 'dlw', 'pt', 'no', '11520360', 'item', 'consisting', 'of', '24', 'items', 'in']"
129,130,11665580,DIAPHRAGM SMALL FOR VA1B CONTROL VALVE,"['diaphragm', 'small', 'for', 'va1b', 'control', 'valve']"
130,131,11665660,"VERTICAL HYDRAULIC DAMPER for WDM3D RDSO DRG NO.SKVL-295 SKVL-328,SKVL-387 SPEC","['vertical', 'hydraulic', 'damper', 'for', 'wdm3d', 'rdso', 'drg', 'no', 'skvl', '295', 'skvl', '328', 'skvl', '387', 'spec']"
131,132,11981179,HANGING BOLT FOR GEAR CASE,"['hanging', 'bolt', 'for', 'gear', 'case']"
132,133,11981556,FEED VALVE F2 MODIFIED,"['feed', 'valve', 'f2', 'modified']"
133,134,11981581,RUBBER PART KIT FOR D24B FEED VALVE CONSISTING OF 14 ITEMS.,"['rubber', 'part', 'kit', 'for', 'd24b', 'feed', 'valve', 'consisting', 'of', '14', 'items']"
134,135,11981799,REPAIR KIT FOR AIR FLOW MEASURING VALVE consist of 26 item,"['repair', 'kit', 'for', 'air', 'flow', 'measuring', 'valve', 'consist', 'of', '26', 'item']"
135,136,11981945,RUBBER KIT FOR D-1 EMERGENCY VALVE it Consist of 06 item.(1) O Ring Wabco pt no. 524614,"['rubber', 'kit', 'for', 'd', '1', 'emergency', 'valve', 'it', 'consist', 'of', '06', 'item', '1', 'o', 'ring', 'wabco', 'pt', 'no', '524614']"
136,137,11984259,SAFETY CLAMP FOR TRANSITION SCREW COUPLING,"['safety', 'clamp', 'for', 'transition', 'screw', 'coupling']"
137,138,11990235,KIT FOR DESSICANT CANISTER SIL PART NO.RK-AB-787-198,"['kit', 'for', 'dessicant', 'canister', 'sil', 'part', 'no', 'rk', 'ab', '787', '198']"
138,139,11990247,PIPING ASSLY FOR AIR DRYER,"['piping', 'assly', 'for', 'air', 'dryer']"
139,140,11990260,KIT FOR PURGE VALVE,"['kit', 'for', 'purge', 'valve']"
140,141,11990272,KIT FOR INLET CHECK VALVE RK-AB-787-W-27A,"['kit', 'for', 'inlet', 'check', 'valve', 'rk', 'ab', '787', 'w', '27a']"
141,142,11990296,TIMER CIRCUIT BOARD(NON MEMORY),"['timer', 'circuit', 'board', 'non', 'memory']"
